Drug,Generic Name,Therapeutic Class,Pharmacological Class,Indication,Route,Mechanism,Renal Impairment,Hepatic Impairment,Geriatric Considerations,Pediatric Considerations,Pregnancy,Lactation,Common Adverse Effects
Etodolac,Etodolac,NSAID,Preferential COX-2 inhibitor,Pain and inflammation,Oral,Inhibits cyclooxygenase and prostaglandin synthesis,Avoid severe renal impairment,Use cautiously in hepatic impairment,Monitor GI cardiovascular and renal effects,Limited pediatric use,Generally avoided later in pregnancy,Limited data,Dyspepsia edema hypertension
Fentanyl,Fentanyl,Opioid analgesic,Potent opioid agonist,Severe pain and anesthesia,Injection/Transdermal,Activates mu-opioid receptors,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Very high respiratory depression risk,Specialist pediatric use,Use only when clinically necessary,Can cause neonatal respiratory depression,Respiratory depression sedation constipation
Naltrexone,Naltrexone,Opioid antagonist,Opioid receptor antagonist,Alcohol and opioid dependence,Oral/Injection,Blocks opioid receptors,Use cautiously in renal impairment,Avoid acute hepatitis or severe hepatic impairment,Monitor liver function,Limited pediatric use,Use only when clearly indicated,Limited data,Nausea headache hepatotoxicity
Allopurinol,Allopurinol,Antigout,Xanthine oxidase inhibitor,Gout and hyperuricemia,Oral,Inhibits uric acid synthesis,Start low and reduce dose in renal impairment,Use cautiously in hepatic impairment,Start low and monitor for hypersensitivity,Used in children with specialist supervision,Use when benefits outweigh risks,Limited data,Rash hypersensitivity GI upset
Febuxostat,Febuxostat,Antigout,Xanthine oxidase inhibitor,Chronic hyperuricemia and gout,Oral,Inhibits xanthine oxidase,Use cautiously in severe renal impairment,Use cautiously in hepatic impairment,Monitor cardiovascular risk and liver function,Limited pediatric use,Use only when clearly indicated,Limited data,Liver enzyme elevation nausea rash
Colchicine,Colchicine,Antigout,Microtubule inhibitor,Acute gout and gout prophylaxis,Oral,Disrupts microtubule polymerization and inflammatory cell activity,Reduce dose in renal impairment,Avoid or reduce in significant hepatic impairment,High toxicity risk with age and interactions,Specialist pediatric use,Use only when clearly indicated,Limited data,Diarrhea nausea myopathy toxicity
Azathioprine,Azathioprine,Immunosuppressant,Thiopurine,Autoimmune disorders and transplant,Oral/Injection,Inhibits purine synthesis and lymphocyte proliferation,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor blood counts and liver function,Specialist pediatric use,Use only when benefits outweigh risks,May be used with specialist monitoring,Myelosuppression hepatotoxicity nausea
Mycophenolate mofetil,Mycophenolate mofetil,Immunosuppressant,Antimetabolite,Organ transplantation and autoimmune disease,Oral/IV,Inhibits inosine monophosphate dehydrogenase and lymphocyte proliferation,Use cautiously in renal impairment,Use cautiously in hepatic impairment,Monitor blood counts and infection,Specialist pediatric use,Contraindicated in pregnancy due to fetal risk,Generally contraindicated during breastfeeding,Diarrhea leukopenia infection
Tacrolimus,Tacrolimus,Immunosuppressant,Calcineurin inhibitor,Organ transplantation,Oral/Injection,Inhibits calcineurin and T-cell activation,Nephrotoxic; monitor renal function and levels,Use cautiously in hepatic impairment,Monitor drug levels renal function glucose and potassium,Specialist pediatric transplant use,Use only under specialist supervision,Specialist monitoring required,Nephrotoxicity tremor hypertension
Cyclosporine,Cyclosporine,Immunosuppressant,Calcineurin inhibitor,Organ transplantation and autoimmune disease,Oral/Injection,Inhibits calcineurin and T-cell activation,Nephrotoxic and requires renal monitoring,Use cautiously in hepatic impairment,Monitor blood pressure renal function and drug levels,Specialist pediatric use,Use only when benefits outweigh risks,Specialist monitoring required,Nephrotoxicity hypertension hypertrichosis
